year,sex,qimd,agegroup,deaths
2002,1,5,0,672
2002,1,4,0,392
2002,1,3,0,272
2002,1,2,0,220
2002,1,1,0,181
2003,1,5,0,707
2003,1,4,0,376
2003,1,3,0,255
2003,1,2,0,197
2003,1,1,0,200
2004,1,5,0,649
2004,1,4,0,378
2004,1,3,0,287
2004,1,2,0,220
2004,1,1,0,165
2005,1,5,0,678
2005,1,4,0,381
2005,1,3,0,311
2005,1,2,0,225
2005,1,1,0,179
2006,1,5,0,691
2006,1,4,0,385
2006,1,3,0,265
2006,1,2,0,232
2006,1,1,0,189
2007,1,5,0,665
2007,1,4,0,423
2007,1,3,0,280
2007,1,2,0,213
2007,1,1,0,170
2008,1,5,0,706
2008,1,4,0,420
2008,1,3,0,263
2008,1,2,0,222
2008,1,1,0,199
2009,1,5,0,604
2009,1,4,0,428
2009,1,3,0,288
2009,1,2,0,223
2009,1,1,0,198
2010,1,5,0,571
2010,1,4,0,412
2010,1,3,0,269
2010,1,2,0,212
2010,1,1,0,160
2011,1,5,0,643
2011,1,4,0,420
2011,1,3,0,311
2011,1,2,0,208
2011,1,1,0,162
2012,1,5,0,612
2012,1,4,0,375
2012,1,3,0,280
2012,1,2,0,188
2012,1,1,0,176
2013,1,5,0,536
2013,1,4,0,356
2013,1,3,0,238
2013,1,2,0,215
2013,1,1,0,158
2002,2,5,0,485
2002,2,4,0,279
2002,2,3,0,217
2002,2,2,0,149
2002,2,1,0,135
2003,2,5,0,572
2003,2,4,0,304
2003,2,3,0,215
2003,2,2,0,176
2003,2,1,0,143
2004,2,5,0,505
2004,2,4,0,310
2004,2,3,0,244
2004,2,2,0,162
2004,2,1,0,148
2005,2,5,0,497
2005,2,4,0,311
2005,2,3,0,200
2005,2,2,0,152
2005,2,1,0,144
2006,2,5,0,548
2006,2,4,0,309
2006,2,3,0,215
2006,2,2,0,212
2006,2,1,0,146
2007,2,5,0,493
2007,2,4,0,311
2007,2,3,0,238
2007,2,2,0,179
2007,2,1,0,155
2008,2,5,0,531
2008,2,4,0,330
2008,2,3,0,212
2008,2,2,0,155
2008,2,1,0,146
2009,2,5,0,487
2009,2,4,0,331
2009,2,3,0,236
2009,2,2,0,154
2009,2,1,0,161
2010,2,5,0,492
2010,2,4,0,316
2010,2,3,0,223
2010,2,2,0,176
2010,2,1,0,135
2011,2,5,0,438
2011,2,4,0,312
2011,2,3,0,222
2011,2,2,0,144
2011,2,1,0,126
2012,2,5,0,432
2012,2,4,0,281
2012,2,3,0,201
2012,2,2,0,172
2012,2,1,0,153
2013,2,5,0,397
2013,2,4,0,266
2013,2,3,0,187
2013,2,2,0,126
2013,2,1,0,132
2002,1,5,01-04,101
2002,1,4,01-04,45
2002,1,3,01-04,61
2002,1,2,01-04,46
2002,1,1,01-04,50
2003,1,5,01-04,124
2003,1,4,01-04,52
2003,1,3,01-04,37
2003,1,2,01-04,29
2003,1,1,01-04,44
2004,1,5,01-04,104
2004,1,4,01-04,59
2004,1,3,01-04,51
2004,1,2,01-04,40
2004,1,1,01-04,36
2005,1,5,01-04,91
2005,1,4,01-04,67
2005,1,3,01-04,41
2005,1,2,01-04,35
2005,1,1,01-04,41
2006,1,5,01-04,99
2006,1,4,01-04,61
2006,1,3,01-04,38
2006,1,2,01-04,37
2006,1,1,01-04,39
2007,1,5,01-04,105
2007,1,4,01-04,87
2007,1,3,01-04,59
2007,1,2,01-04,30
2007,1,1,01-04,40
2008,1,5,01-04,92
2008,1,4,01-04,62
2008,1,3,01-04,44
2008,1,2,01-04,36
2008,1,1,01-04,30
2009,1,5,01-04,79
2009,1,4,01-04,44
2009,1,3,01-04,41
2009,1,2,01-04,30
2009,1,1,01-04,32
2010,1,5,01-04,88
2010,1,4,01-04,61
2010,1,3,01-04,44
2010,1,2,01-04,44
2010,1,1,01-04,28
2011,1,5,01-04,95
2011,1,4,01-04,42
2011,1,3,01-04,58
2011,1,2,01-04,37
2011,1,1,01-04,25
2012,1,5,01-04,79
2012,1,4,01-04,51
2012,1,3,01-04,55
2012,1,2,01-04,27
2012,1,1,01-04,39
2013,1,5,01-04,75
2013,1,4,01-04,67
2013,1,3,01-04,38
2013,1,2,01-04,38
2013,1,1,01-04,31
2002,2,5,01-04,68
2002,2,4,01-04,53
2002,2,3,01-04,44
2002,2,2,01-04,29
2002,2,1,01-04,31
2003,2,5,01-04,101
2003,2,4,01-04,52
2003,2,3,01-04,36
2003,2,2,01-04,34
2003,2,1,01-04,37
2004,2,5,01-04,79
2004,2,4,01-04,41
2004,2,3,01-04,30
2004,2,2,01-04,46
2004,2,1,01-04,36
2005,2,5,01-04,78
2005,2,4,01-04,34
2005,2,3,01-04,46
2005,2,2,01-04,29
2005,2,1,01-04,21
2006,2,5,01-04,84
2006,2,4,01-04,63
2006,2,3,01-04,33
2006,2,2,01-04,30
2006,2,1,01-04,40
2007,2,5,01-04,81
2007,2,4,01-04,39
2007,2,3,01-04,35
2007,2,2,01-04,33
2007,2,1,01-04,29
2008,2,5,01-04,80
2008,2,4,01-04,56
2008,2,3,01-04,50
2008,2,2,01-04,33
2008,2,1,01-04,32
2009,2,5,01-04,70
2009,2,4,01-04,49
2009,2,3,01-04,36
2009,2,2,01-04,41
2009,2,1,01-04,28
2010,2,5,01-04,74
2010,2,4,01-04,48
2010,2,3,01-04,41
2010,2,2,01-04,22
2010,2,1,01-04,30
2011,2,5,01-04,72
2011,2,4,01-04,44
2011,2,3,01-04,43
2011,2,2,01-04,34
2011,2,1,01-04,22
2012,2,5,01-04,69
2012,2,4,01-04,48
2012,2,3,01-04,28
2012,2,2,01-04,22
2012,2,1,01-04,22
2013,2,5,01-04,71
2013,2,4,01-04,53
2013,2,3,01-04,31
2013,2,2,01-04,31
2013,2,1,01-04,26
2002,1,5,05-09,54
2002,1,4,05-09,40
2002,1,3,05-09,38
2002,1,2,05-09,28
2002,1,1,05-09,28
2003,1,5,05-09,51
2003,1,4,05-09,46
2003,1,3,05-09,38
2003,1,2,05-09,32
2003,1,1,05-09,24
2004,1,5,05-09,42
2004,1,4,05-09,31
2004,1,3,05-09,22
2004,1,2,05-09,36
2004,1,1,05-09,28
2005,1,5,05-09,49
2005,1,4,05-09,29
2005,1,3,05-09,30
2005,1,2,05-09,24
2005,1,1,05-09,26
2006,1,5,05-09,56
2006,1,4,05-09,31
2006,1,3,05-09,26
2006,1,2,05-09,38
2006,1,1,05-09,22
2007,1,5,05-09,65
2007,1,4,05-09,34
2007,1,3,05-09,24
2007,1,2,05-09,25
2007,1,1,05-09,21
2008,1,5,05-09,53
2008,1,4,05-09,41
2008,1,3,05-09,14
2008,1,2,05-09,22
2008,1,1,05-09,33
2009,1,5,05-09,51
2009,1,4,05-09,33
2009,1,3,05-09,19
2009,1,2,05-09,21
2009,1,1,05-09,17
2010,1,5,05-09,47
2010,1,4,05-09,28
2010,1,3,05-09,30
2010,1,2,05-09,19
2010,1,1,05-09,15
2011,1,5,05-09,47
2011,1,4,05-09,40
2011,1,3,05-09,24
2011,1,2,05-09,22
2011,1,1,05-09,15
2012,1,5,05-09,36
2012,1,4,05-09,36
2012,1,3,05-09,27
2012,1,2,05-09,24
2012,1,1,05-09,19
2013,1,5,05-09,40
2013,1,4,05-09,30
2013,1,3,05-09,25
2013,1,2,05-09,18
2013,1,1,05-09,20
2002,2,5,05-09,52
2002,2,4,05-09,31
2002,2,3,05-09,26
2002,2,2,05-09,19
2002,2,1,05-09,19
2003,2,5,05-09,41
2003,2,4,05-09,30
2003,2,3,05-09,36
2003,2,2,05-09,12
2003,2,1,05-09,29
2004,2,5,05-09,39
2004,2,4,05-09,25
2004,2,3,05-09,25
2004,2,2,05-09,20
2004,2,1,05-09,21
2005,2,5,05-09,41
2005,2,4,05-09,23
2005,2,3,05-09,15
2005,2,2,05-09,21
2005,2,1,05-09,25
2006,2,5,05-09,35
2006,2,4,05-09,34
2006,2,3,05-09,16
2006,2,2,05-09,24
2006,2,1,05-09,14
2007,2,5,05-09,33
2007,2,4,05-09,27
2007,2,3,05-09,25
2007,2,2,05-09,10
2007,2,1,05-09,18
2008,2,5,05-09,45
2008,2,4,05-09,30
2008,2,3,05-09,25
2008,2,2,05-09,10
2008,2,1,05-09,18
2009,2,5,05-09,34
2009,2,4,05-09,34
2009,2,3,05-09,23
2009,2,2,05-09,18
2009,2,1,05-09,17
2010,2,5,05-09,38
2010,2,4,05-09,31
2010,2,3,05-09,19
2010,2,2,05-09,21
2010,2,1,05-09,19
2011,2,5,05-09,33
2011,2,4,05-09,13
2011,2,3,05-09,14
2011,2,2,05-09,19
2011,2,1,05-09,12
2012,2,5,05-09,30
2012,2,4,05-09,23
2012,2,3,05-09,28
